#: table_doi: 10.17182/hepdata.106115.v2/t41
#: name: 2D exclusion contour, vector, Observed
#: description: Observed exclusion contour in the $m_{med}$-$m_{\chi}$ plane in the simplified model with vector couplings.
#: data_file: 2d_exclusion_contour,_vector,_observed.yaml
#: keyword reactions: P P --> INVISIBLE JET | P P --> INVISIBLE JET JET | P P --> INVISIBLE W+ | P P --> INVISIBLE W- | P P --> INVISIBLE Z0
#: keyword phrases: Dark matter | DM | DMsimp | Simplified model
#: keyword observables: CLS | SIG
#: keyword cmenergies: 13000.0
#: $g_{q}$,0.25
#: $g_{\chi}$,1.0
#: Coupling type,Vector
#: Integrated luminosity [fb$^{-1}$],137
$m_{med}$ [GeV],$m_{\chi}$ [GeV]
0.0,116.68
30.303,110.62
60.606,102.65
90.909,93.998
121.21,110.11
137.1,121.21
151.52,134.12
177.29,151.52
181.82,155.21
212.12,170.93
242.42,177.72
269.68,181.82
272.73,182.36
303.03,189.85
333.33,200.28
363.64,210.55
368.48,212.12
393.94,222.89
424.24,235.51
443.23,242.42
454.55,247.35
484.85,261.15
515.15,271.63
518.23,272.73
545.45,285.25
575.76,296.11
606.06,302.59
608.03,303.03
636.36,312.56
666.67,322.82
696.97,331.38
702.5,333.33
727.27,346.34
757.58,357.17
776.91,363.64
787.88,369.16
818.18,382.36
848.48,392.05
852.75,393.94
878.79,408.1
909.09,419.9
918.49,424.24
939.39,438.64
969.7,451.07
977.38,454.55
1000.0,469.6
1030.3,483.85
1032.6,484.85
1060.6,501.18
1090.9,511.68
1103.7,515.15
1121.2,521.86
1151.5,534.9
1179.2,545.45
1181.8,547.01
1212.1,567.23
1230.1,575.76
1242.4,582.27
1272.7,593.67
1303.0,602.16
1318.8,606.06
1333.3,610.22
1363.6,620.9
1393.9,631.65
1404.5,636.36
1424.2,646.54
1454.5,658.25
1475.2,666.67
1484.8,671.05
1515.2,682.73
1545.5,694.12
1552.3,696.97
1575.8,705.54
1606.1,714.93
1636.4,726.18
1638.9,727.27
1666.7,735.47
1697.0,743.7
1727.3,755.85
1731.2,757.58
1757.6,764.0
1787.9,770.81
1818.2,781.94
1834.7,787.88
1848.5,790.02
1878.8,790.53
1890.3,787.88
1897.2,757.58
1907.4,727.27
1909.1,722.13
1917.4,696.97
1925.9,666.67
1933.5,636.36
1938.5,606.06
1939.4,597.95
1941.8,575.76
1945.4,545.45
1948.0,515.15
1949.7,484.85
1951.5,454.55
1952.9,424.24
1953.8,393.94
1954.5,363.64
1955.2,333.33
1955.7,303.03
1955.9,272.73
1956.1,242.42
1956.4,212.12
1956.4,181.82
1956.5,151.52
1956.6,121.21
1956.3,90.909
1955.3,60.606
1955.2,30.303
1956.8,0.0

