#: table_doi: 10.17182/hepdata.106115.v2/t21
#: name: Cut flow for Monojet, DM, spin-0 mediator
#: description: Unweighted signal acceptance times efficiency at every cut stage. The requirements called "HCAL mitigation" refer to the requirements imposed in the 2018 data set in order to mitigate the localized failure of the HCAL detector.
#: data_file: cut_flow_for_monojet,_dm,_spin-0_mediator.yaml
#: keyword reactions: P P --> INVISIBLE JET
#: keyword phrases: Dark matter | DM | DMsimp | Simplified model
#: keyword cmenergies: 13000.0
#: Coupling,Scalar
#: Mode,$\chi\chi+j$
#: $m_{med}$,50.0
#: $m_{DM}$,1.0
#: $g_{\chi}$,1.0
#: $g_{q}$,1.0
#: Data-taking period,2018
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.39831
$p_{T}^{miss} > 250$ GeV,0.077432
$p_{T}^{miss}$ quality filters,0.077367
Electron veto,0.07724
Muon veto,0.077062
Tau veto,0.07537
B jet veto,0.07537
Photon veto,0.075007
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.070937
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.070612
Leading AK4 jet $p_{T} > 100$ GeV,0.063805
Leading AK4 jet $\eta < 2.4$,0.063805
Leading AK4 jet energy fractions,0.06347
Mono-V overlap removal,0.060565
HCAL mitigation (jets),0.057568
HCAL mitigation ($\phi^{miss}$),0.04843
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.048425

#: Coupling,Pseudoscalar
#: Mode,$\chi\chi$+Z(qq)
#: $m_{med}$,50.0
#: $m_{DM}$,20.0
#: $g_{\chi}$,1.0
#: $g_{q}$,1.0
#: Data-taking period,2017
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.68207
$p_{T}^{miss} > 250$ GeV,0.33076
$p_{T}^{miss}$ quality filters,0.33011
Electron veto,0.32394
Muon veto,0.31761
Tau veto,0.30232
B jet veto,0.30232
Photon veto,0.3007
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.2716
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.27086
Leading AK4 jet $p_{T} > 100$ GeV,0.26172
Leading AK4 jet $\eta < 2.4$,0.26172
Leading AK4 jet energy fractions,0.25919
Mono-V overlap removal,0.17206
HCAL mitigation (jets),0.17206
HCAL mitigation ($\phi^{miss}$),0.17206
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.17196

#: Coupling,Scalar
#: Mode,$\chi\chi$+Z(qq)
#: $m_{med}$,700.0
#: $m_{DM}$,1.0
#: $g_{\chi}$,1.0
#: $g_{q}$,1.0
#: Data-taking period,2018
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.75546
$p_{T}^{miss} > 250$ GeV,0.53583
$p_{T}^{miss}$ quality filters,0.53463
Electron veto,0.52411
Muon veto,0.51412
Tau veto,0.48981
B jet veto,0.48981
Photon veto,0.48691
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.43126
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.431
Leading AK4 jet $p_{T} > 100$ GeV,0.42234
Leading AK4 jet $\eta < 2.4$,0.42234
Leading AK4 jet energy fractions,0.41865
Mono-V overlap removal,0.25635
HCAL mitigation (jets),0.24261
HCAL mitigation ($\phi^{miss}$),0.21674
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.21662

#: Coupling,Scalar
#: Mode,$\chi\chi+j$
#: $m_{med}$,200.0
#: $m_{DM}$,1.0
#: $g_{\chi}$,1.0
#: $g_{q}$,1.0
#: Data-taking period,2017
Cut stage,Fraction of passing events
Full sample,1.0
