#: table_doi: 10.17182/hepdata.106115.v2/t3
#: name: Signal templates, ADD, Monojet
#: description: Differential signal yields for various signal hypotheses.
#: data_file: signal_templates,_add,_monojet.yaml
#: keyword observables: N
#: keyword reactions: P P --> INVISIBLE JET
#: keyword phrases: ADD | Extra dimensions | Graviton
#: keyword cmenergies: 13000.0
#: d,,,2
#: $M_{D}$ [TeV],,,10
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,279.05,5.7769,-5.7769
295.0,280.0,310.0,216.58,4.9531,-4.9531
325.0,310.0,340.0,165.84,4.3559,-4.3559
355.0,340.0,370.0,124.22,3.6855,-3.6855
385.0,370.0,400.0,105.14,3.4422,-3.4422
415.0,400.0,430.0,82.909,3.0396,-3.0396
450.0,430.0,470.0,84.519,2.9652,-2.9652
490.0,470.0,510.0,65.206,2.6419,-2.6419
530.0,510.0,550.0,54.786,2.3895,-2.3895
570.0,550.0,590.0,41.352,2.054,-2.054
615.0,590.0,640.0,37.723,1.9663,-1.9663
665.0,640.0,690.0,29.467,1.751,-1.751
715.0,690.0,740.0,24.584,1.5834,-1.5834
765.0,740.0,790.0,18.795,1.377,-1.377
815.0,790.0,840.0,14.877,1.2246,-1.2246
870.0,840.0,900.0,13.129,1.1415,-1.1415
930.0,900.0,960.0,10.534,1.0293,-1.0293
990.0,960.0,1020.0,7.1005,0.84142,-0.84142
1055.0,1020.0,1090.0,5.8023,0.7578,-0.7578
1125.0,1090.0,1160.0,4.2949,0.6532,-0.6532
1205.0,1160.0,1250.0,4.5548,0.68093,-0.68093
1325.0,1250.0,1400.0,11.793,1.0965,-1.0965

#: d,,,3
#: $M_{D}$ [TeV],,,10
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,49.304,0.93492,-0.93492
295.0,280.0,310.0,38.826,0.82009,-0.82009
325.0,310.0,340.0,29.77,0.72131,-0.72131
355.0,340.0,370.0,24.736,0.65245,-0.65245
385.0,370.0,400.0,18.669,0.56608,-0.56608
415.0,400.0,430.0,14.312,0.49193,-0.49193
450.0,430.0,470.0,16.773,0.53126,-0.53126
490.0,470.0,510.0,13.222,0.47264,-0.47264
530.0,510.0,550.0,10.578,0.42356,-0.42356
570.0,550.0,590.0,9.0744,0.38946,-0.38946
615.0,590.0,640.0,8.5153,0.37673,-0.37673
665.0,640.0,690.0,6.3839,0.32701,-0.32701
