#: table_doi: 10.17182/hepdata.106115.v2/t6
#: name: Signal templates, DMsimp, spin-0, Mono-V ($\tau_{21}$)
#: description: Differential signal yields for various signal hypotheses.
#: data_file: signal_templates,_dmsimp,_spin-0,_mono-v_($\tau_{21}$).yaml
#: keyword observables: N
#: keyword reactions: P P --> INVISIBLE JET JET
#: keyword cmenergies: 13000.0
#: Coupling type,,,Pseudoscalar
#: Production mode,,,DM + QCD jets
#: $m_{med}$,,,100.0
#: $m_{DM}$,,,1.0
#: $g_{q}$,,,1.0
#: $g_{DM}$,,,1.0
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
275.0,250.0,300.0,174.06,6.0858,-6.0858
325.0,300.0,350.0,129.53,5.2434,-5.2434
375.0,350.0,400.0,81.19,4.1439,-4.1439
450.0,400.0,500.0,63.317,3.6654,-3.6654
550.0,500.0,600.0,18.348,1.9633,-1.9633
675.0,600.0,750.0,5.9138,1.1235,-1.1235
875.0,750.0,1000.0,2.1394,0.65965,-0.65965

#: Coupling type,,,Pseudoscalar
#: Production mode,,,DM + QCD jets
#: $m_{med}$,,,100.0
#: $m_{DM}$,,,40.0
#: $g_{q}$,,,1.0
#: $g_{DM}$,,,1.0
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
275.0,250.0,300.0,169.94,5.9922,-5.9922
325.0,300.0,350.0,137.99,5.4219,-5.4219
375.0,350.0,400.0,76.267,4.0228,-4.0228
450.0,400.0,500.0,62.048,3.612,-3.612
550.0,500.0,600.0,16.61,1.8591,-1.8591
675.0,600.0,750.0,6.1883,1.1256,-1.1256
875.0,750.0,1000.0,1.6808,0.59925,-0.59925

#: Coupling type,,,Pseudoscalar
#: Production mode,,,DM + QCD jets
#: $m_{med}$,,,100.0
#: $m_{DM}$,,,45.0
#: $g_{q}$,,,1.0
#: $g_{DM}$,,,1.0
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
275.0,250.0,300.0,165.61,5.9029,-5.9029
325.0,300.0,350.0,131.76,5.2933,-5.2933
375.0,350.0,400.0,83.406,4.212,-4.212
450.0,400.0,500.0,66.463,3.7424,-3.7424
550.0,500.0,600.0,17.563,1.9437,-1.9437
675.0,600.0,750.0,5.4457,1.0719,-1.0719
875.0,750.0,1000.0,1.2118,0.50393,-0.50393

#: Coupling type,,,Pseudoscalar
#: Production mode,,,DM + QCD jets
#: $m_{med}$,,,100.0
#: $m_{DM}$,,,55.0
#: $g_{q}$,,,1.0
#: $g_{DM}$,,,1.0
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
275.0,250.0,300.0,11.133,0.3361,-0.3361
325.0,300.0,350.0,9.538,0.31143,-0.31143
375.0,350.0,400.0,6.0066,0.24673,-0.24673
450.0,400.0,500.0,5.7415,0.24116,-0.24116
550.0,500.0,600.0,1.8731,0.13673,-0.13673
675.0,600.0,750.0,0.61545,0.078099,-0.078099
875.0,750.0,1000.0,0.15913,0.039831,-0.039831

#: Coupling type,,,Pseudoscalar
#: Production mode,,,DM + QCD jets
#: $m_{med}$,,,10.0
#: $m_{DM}$,,,1.0
#: $g_{q}$,,,1.0
#: $g_{DM}$,,,1.0
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
275.0,250.0,300.0,205.75,8.0911,-8.0911
325.0,300.0,350.0,151.7,6.9512,-6.9512
375.0,350.0,400.0,94.584,5.5199,-5.5199
450.0,400.0,500.0,69.088,4.6711,-4.6711
550.0,500.0,600.0,15.31,2.1749,-2.1749
675.0,600.0,750.0,7.9548,1.5898,-1.5898
875.0,750.0,1000.0,0.68052,0.48158,-0.48158

#: Coupling type,,,Pseudoscalar
