

# Contour value=2.00 
mST_GeV,deltaM_GeV
5.6816e+02,1.0000e+01
5.6790e+02,1.0982e+01
5.6763e+02,1.1964e+01
5.6737e+02,1.2946e+01
5.6711e+02,1.3928e+01
5.6684e+02,1.4910e+01
5.6658e+02,1.5892e+01
5.6632e+02,1.6874e+01
5.6605e+02,1.7856e+01
5.6579e+02,1.8838e+01
5.6552e+02,1.9820e+01
5.6517e+02,2.0802e+01
5.6513e+02,2.0907e+01
5.6481e+02,2.1784e+01
5.6445e+02,2.2766e+01
5.6409e+02,2.3747e+01
5.6373e+02,2.4729e+01
5.6362e+02,2.5711e+01
5.6360e+02,2.6693e+01
5.6359e+02,2.7675e+01
5.6358e+02,2.8657e+01
5.6356e+02,2.9639e+01
5.6355e+02,3.0621e+01
5.6354e+02,3.1603e+01
5.6352e+02,3.2585e+01
5.6351e+02,3.3567e+01
5.6341e+02,3.4549e+01
5.6328e+02,3.5531e+01
5.6312e+02,3.6513e+01
5.6296e+02,3.7495e+01
5.6280e+02,3.8477e+01
5.6265e+02,3.9459e+01
5.6249e+02,4.0441e+01
5.6233e+02,4.1423e+01
5.6217e+02,4.2405e+01
5.6202e+02,4.3387e+01
5.6186e+02,4.4369e+01
5.6170e+02,4.5351e+01
5.6154e+02,4.6333e+01
5.6138e+02,4.7315e+01
5.6123e+02,4.8297e+01
5.6107e+02,4.9279e+01
5.6097e+02,5.0261e+01
5.6104e+02,5.1242e+01
5.6110e+02,5.2224e+01
5.6117e+02,5.3206e+01
5.6123e+02,5.4188e+01
5.6130e+02,5.5170e+01
5.6136e+02,5.6152e+01
5.6143e+02,5.7134e+01
5.6149e+02,5.8116e+01
5.6150e+02,5.9098e+01
5.6142e+02,6.0080e+01
5.6107e+02,6.1062e+01
5.6073e+02,6.2044e+01
5.6038e+02,6.3026e+01
5.6003e+02,6.4008e+01
5.5972e+02,6.4887e+01
5.5968e+02,6.4990e+01
5.5934e+02,6.5972e+01
5.5899e+02,6.6954e+01
5.5864e+02,6.7936e+01
5.5829e+02,6.8918e+01
5.5794e+02,6.9900e+01
5.5760e+02,7.0882e+01
5.5725e+02,7.1864e+01
5.5690e+02,7.2846e+01
5.5655e+02,7.3828e+01
5.5620e+02,7.4810e+01
5.5614e+02,7.5792e+01
5.5614e+02,7.6774e+01
5.5614e+02,7.7756e+01
5.5613e+02,7.8737e+01
5.5613e+02,7.9719e+01
5.5613e+02,8.0701e+01
5.5613e+02,8.1683e+01
5.5613e+02,8.2665e+01
5.5613e+02,8.3647e+01
5.5613e+02,8.4629e+01
5.5613e+02,8.5611e+01
5.5613e+02,8.6593e+01
5.5613e+02,8.7575e+01
5.5613e+02,8.8557e+01
5.5614e+02,8.9539e+01
5.5615e+02,9.0521e+01
5.5616e+02,9.1503e+01
5.5618e+02,9.2485e+01
5.5619e+02,9.3467e+01
5.5620e+02,9.4449e+01
5.5622e+02,9.5431e+01
5.5623e+02,9.6413e+01
5.5625e+02,9.7395e+01
5.5626e+02,9.8377e+01
5.5627e+02,9.9359e+01
5.5621e+02,1.0034e+02
5.5600e+02,1.0132e+02
5.5579e+02,1.0230e+02
5.5558e+02,1.0329e+02
5.5537e+02,1.0427e+02
5.5516e+02,1.0525e+02
5.5495e+02,1.0623e+02
5.5473e+02,1.0721e+02
5.5452e+02,1.0820e+02
5.5431e+02,1.0918e+02
5.5431e+02,1.0920e+02
5.5410e+02,1.1016e+02
5.5389e+02,1.1114e+02
5.5368e+02,1.1212e+02
5.5347e+02,1.1311e+02
5.5326e+02,1.1409e+02
5.5305e+02,1.1507e+02
5.5284e+02,1.1605e+02
5.5263e+02,1.1703e+02
5.5242e+02,1.1802e+02
5.5221e+02,1.1900e+02
5.5200e+02,1.1998e+02
5.5179e+02,1.2096e+02
5.5158e+02,1.2194e+02
5.5137e+02,1.2293e+02
5.5125e+02,1.2391e+02
5.5111e+02,1.2489e+02
5.5101e+02,1.2587e+02
5.5099e+02,1.2685e+02
5.5097e+02,1.2784e+02
5.5095e+02,1.2882e+02
5.5094e+02,1.2980e+02
5.5092e+02,1.3078e+02
5.5090e+02,1.3176e+02
5.5088e+02,1.3275e+02
5.5087e+02,1.3373e+02
5.5085e+02,1.3471e+02
5.5083e+02,1.3569e+02
5.5081e+02,1.3667e+02
5.5080e+02,1.3766e+02
5.5078e+02,1.3864e+02
5.5076e+02,1.3962e+02
5.5074e+02,1.4060e+02
5.5073e+02,1.4158e+02
5.5071e+02,1.4257e+02
5.5069e+02,1.4355e+02
5.5067e+02,1.4453e+02
5.5066e+02,1.4551e+02
5.5064e+02,1.4649e+02
5.5062e+02,1.4747e+02
5.5060e+02,1.4846e+02
5.5059e+02,1.4944e+02
5.5056e+02,1.5042e+02
5.5054e+02,1.5140e+02
5.5051e+02,1.5238e+02
5.5048e+02,1.5337e+02
5.5045e+02,1.5435e+02
5.5042e+02,1.5533e+02
5.5039e+02,1.5631e+02
5.5036e+02,1.5729e+02
5.5034e+02,1.5828e+02
5.5031e+02,1.5926e+02
5.5028e+02,1.6024e+02
5.5025e+02,1.6122e+02
5.5022e+02,1.6220e+02
5.5019e+02,1.6319e+02
5.5016e+02,1.6417e+02
5.5014e+02,1.6515e+02
5.5011e+02,1.6613e+02
5.5008e+02,1.6711e+02
5.5005e+02,1.6810e+02
5.5002e+02,1.6908e+02
5.4999e+02,1.7006e+02
5.4997e+02,1.7104e+02
5.4994e+02,1.7202e+02
5.4991e+02,1.7301e+02
5.4988e+02,1.7399e+02
5.4975e+02,1.7497e+02
5.4952e+02,1.7595e+02
5.4926e+02,1.7693e+02
5.4897e+02,1.7792e+02
5.4890e+02,1.7818e+02
5.4869e+02,1.7890e+02
5.4840e+02,1.7988e+02
5.4811e+02,1.8086e+02
5.4782e+02,1.8184e+02
5.4753e+02,1.8283e+02
5.4725e+02,1.8381e+02
5.4696e+02,1.8479e+02
5.4667e+02,1.8577e+02
5.4638e+02,1.8675e+02
5.4609e+02,1.8774e+02
5.4580e+02,1.8872e+02
5.4552e+02,1.8970e+02
5.4523e+02,1.9068e+02
5.4494e+02,1.9166e+02
5.4465e+02,1.9265e+02
5.4436e+02,1.9363e+02
5.4407e+02,1.9461e+02
5.4379e+02,1.9559e+02
5.4350e+02,1.9657e+02
5.4349e+02,1.9661e+02
5.4321e+02,1.9756e+02
5.4292e+02,1.9854e+02
5.4263e+02,1.9952e+02
5.4224e+02,2.0050e+02
5.4173e+02,2.0148e+02
5.4123e+02,2.0246e+02
5.4072e+02,2.0345e+02
5.4022e+02,2.0443e+02
5.3971e+02,2.0541e+02
5.3921e+02,2.0639e+02
5.3871e+02,2.0737e+02
5.3820e+02,2.0836e+02
5.3808e+02,2.0860e+02
5.3770e+02,2.0934e+02
5.3719e+02,2.1032e+02
5.3669e+02,2.1130e+02
5.3619e+02,2.1228e+02
5.3568e+02,2.1327e+02
5.3518e+02,2.1425e+02
5.3467e+02,2.1523e+02
5.3417e+02,2.1621e+02
5.3367e+02,2.1719e+02
5.3316e+02,2.1818e+02
5.3267e+02,2.1914e+02
5.3266e+02,2.1916e+02
5.3215e+02,2.2014e+02
5.3165e+02,2.2112e+02
5.3115e+02,2.2210e+02
5.3064e+02,2.2309e+02
5.3014e+02,2.2407e+02
5.2963e+02,2.2505e+02
5.2913e+02,2.2603e+02
5.2862e+02,2.2701e+02
5.2812e+02,2.2800e+02
5.2762e+02,2.2898e+02
5.2725e+02,2.2968e+02
5.2711e+02,2.2996e+02
5.2661e+02,2.3094e+02
5.2610e+02,2.3192e+02
5.2560e+02,2.3291e+02
5.2510e+02,2.3389e+02
5.2459e+02,2.3487e+02
5.2409e+02,2.3585e+02
5.2369e+02,2.3683e+02
5.2336e+02,2.3782e+02
5.2291e+02,2.3880e+02
5.2295e+02,2.3978e+02
5.2322e+02,2.4076e+02
5.2350e+02,2.4174e+02
5.2378e+02,2.4273e+02
5.2406e+02,2.4371e+02
5.2433e+02,2.4469e+02
5.2461e+02,2.4567e+02
5.2489e+02,2.4665e+02
5.2517e+02,2.4764e+02
5.2545e+02,2.4862e+02
5.2572e+02,2.4960e+02
5.2475e+02,2.5058e+02
5.2292e+02,2.5156e+02
5.2184e+02,2.5214e+02
5.2108e+02,2.5255e+02
5.1925e+02,2.5353e+02
5.1741e+02,2.5451e+02
5.1643e+02,2.5503e+02
5.1558e+02,2.5549e+02
5.1415e+02,2.5647e+02
5.1311e+02,2.5745e+02
5.1235e+02,2.5844e+02
5.1179e+02,2.5942e+02
5.1122e+02,2.6040e+02
5.1102e+02,2.6075e+02
5.1066e+02,2.6138e+02
5.1009e+02,2.6236e+02
5.0953e+02,2.6335e+02
5.0896e+02,2.6433e+02
5.0840e+02,2.6531e+02
5.0784e+02,2.6629e+02
5.0727e+02,2.6727e+02
5.0671e+02,2.6826e+02
5.0614e+02,2.6924e+02
5.0561e+02,2.7016e+02
5.0558e+02,2.7022e+02
5.0501e+02,2.7120e+02
5.0445e+02,2.7218e+02
5.0389e+02,2.7317e+02
5.0332e+02,2.7415e+02
5.0276e+02,2.7513e+02
5.0219e+02,2.7611e+02
5.0163e+02,2.7709e+02
5.0106e+02,2.7808e+02
5.0050e+02,2.7906e+02
5.0020e+02,2.7958e+02
4.9999e+02,2.8004e+02
4.9953e+02,2.8102e+02
4.9907e+02,2.8200e+02
4.9861e+02,2.8299e+02
4.9815e+02,2.8397e+02
4.9769e+02,2.8495e+02
4.9724e+02,2.8593e+02
4.9678e+02,2.8691e+02
4.9632e+02,2.8790e+02
4.9586e+02,2.8888e+02
4.9540e+02,2.8986e+02
4.9495e+02,2.9084e+02
4.9479e+02,2.9118e+02
4.9449e+02,2.9182e+02
4.9403e+02,2.9281e+02
4.9358e+02,2.9379e+02
4.9312e+02,2.9477e+02
4.9267e+02,2.9575e+02
4.9221e+02,2.9673e+02
4.9176e+02,2.9772e+02
4.9130e+02,2.9870e+02
4.9085e+02,2.9968e+02
4.9037e+02,3.0066e+02
4.8988e+02,3.0164e+02
4.8939e+02,3.0263e+02
4.8938e+02,3.0264e+02
4.8890e+02,3.0361e+02
4.8840e+02,3.0459e+02
