

# Contour value=5.00 
mST_GeV,deltaM_GeV
3.0000e+02,2.0332e+02
3.0009e+02,2.0371e+02
3.0034e+02,2.0479e+02
3.0058e+02,2.0587e+02
3.0083e+02,2.0695e+02
3.0108e+02,2.0804e+02
3.0133e+02,2.0912e+02
3.0157e+02,2.1020e+02
3.0182e+02,2.1128e+02
3.0207e+02,2.1236e+02
3.0232e+02,2.1345e+02
3.0256e+02,2.1453e+02
3.0281e+02,2.1561e+02
3.0306e+02,2.1669e+02
3.0331e+02,2.1778e+02
3.0355e+02,2.1886e+02
3.0380e+02,2.1994e+02
3.0405e+02,2.2102e+02
3.0430e+02,2.2210e+02
3.0454e+02,2.2319e+02
3.0479e+02,2.2427e+02
3.0504e+02,2.2535e+02
3.0529e+02,2.2643e+02
3.0541e+02,2.2698e+02
3.0553e+02,2.2752e+02
3.0578e+02,2.2860e+02
3.0603e+02,2.2968e+02
3.0628e+02,2.3076e+02
3.0652e+02,2.3184e+02
3.0677e+02,2.3293e+02
3.0702e+02,2.3401e+02
3.0727e+02,2.3509e+02
3.0751e+02,2.3617e+02
3.0776e+02,2.3725e+02
3.0801e+02,2.3834e+02
3.0826e+02,2.3942e+02
3.0850e+02,2.4050e+02
3.0875e+02,2.4158e+02
3.0900e+02,2.4267e+02
3.0925e+02,2.4375e+02
3.0946e+02,2.4483e+02
3.0954e+02,2.4591e+02
3.0962e+02,2.4699e+02
3.0967e+02,2.4808e+02
3.0970e+02,2.4916e+02
3.0974e+02,2.5024e+02
3.0980e+02,2.5132e+02
3.0987e+02,2.5240e+02
3.0993e+02,2.5349e+02
3.1000e+02,2.5457e+02
3.1006e+02,2.5565e+02
3.1012e+02,2.5673e+02
3.1019e+02,2.5782e+02
3.1025e+02,2.5890e+02
3.1032e+02,2.5998e+02
3.1038e+02,2.6106e+02
3.1044e+02,2.6214e+02
3.1051e+02,2.6323e+02
3.1057e+02,2.6431e+02
3.1064e+02,2.6539e+02
3.1070e+02,2.6647e+02
3.1076e+02,2.6756e+02
3.1082e+02,2.6854e+02
3.1083e+02,2.6864e+02
3.1089e+02,2.6972e+02
3.1096e+02,2.7080e+02
3.1102e+02,2.7188e+02
3.1108e+02,2.7297e+02
3.1115e+02,2.7405e+02
3.1121e+02,2.7513e+02
3.1128e+02,2.7621e+02
3.1134e+02,2.7729e+02
3.1140e+02,2.7838e+02
3.1147e+02,2.7946e+02
3.1153e+02,2.8054e+02
3.1160e+02,2.8162e+02
3.1166e+02,2.8271e+02
3.1172e+02,2.8379e+02
3.1179e+02,2.8487e+02
3.1185e+02,2.8595e+02
3.1192e+02,2.8703e+02
3.1199e+02,2.8812e+02
3.1207e+02,2.8920e+02
3.1217e+02,2.9028e+02
3.1232e+02,2.9136e+02
3.1247e+02,2.9244e+02
3.1262e+02,2.9353e+02
3.1277e+02,2.9461e+02
3.1293e+02,2.9569e+02
3.1306e+02,2.9677e+02
3.1320e+02,2.9786e+02
3.1333e+02,2.9894e+02
3.1347e+02,3.0002e+02
3.1359e+02,3.0110e+02
