

# Contour value=12.00 
mST_GeV,deltaM_GeV
7.3447e+02,1.0000e+01
7.3560e+02,1.1960e+01
7.3618e+02,1.2961e+01
7.3673e+02,1.3920e+01
7.3757e+02,1.5879e+01
7.3666e+02,1.7839e+01
7.3618e+02,1.8819e+01
7.3570e+02,1.9799e+01
7.3473e+02,2.1759e+01
7.3376e+02,2.3719e+01
7.3351e+02,2.5678e+01
7.3461e+02,2.7638e+01
7.3571e+02,2.9598e+01
7.3618e+02,3.0432e+01
7.3681e+02,3.1558e+01
7.3791e+02,3.3518e+01
7.3902e+02,3.5477e+01
7.4012e+02,3.7437e+01
7.4020e+02,3.7588e+01
7.4114e+02,3.9397e+01
7.4115e+02,4.1357e+01
7.4090e+02,4.3317e+01
7.4064e+02,4.5276e+01
7.4039e+02,4.7236e+01
7.4020e+02,4.8739e+01
7.4014e+02,4.9196e+01
7.4012e+02,5.1156e+01
7.4020e+02,5.2282e+01
7.4026e+02,5.3116e+01
7.4040e+02,5.5075e+01
7.4054e+02,5.7035e+01
7.4068e+02,5.8995e+01
7.4082e+02,6.0955e+01
7.4095e+02,6.2915e+01
7.4109e+02,6.4874e+01
7.4123e+02,6.6834e+01
7.4137e+02,6.8794e+01
7.4151e+02,7.0754e+01
7.4165e+02,7.2714e+01
7.4179e+02,7.4673e+01
7.4192e+02,7.6633e+01
7.4225e+02,7.8593e+01
7.4340e+02,8.0553e+01
7.4422e+02,8.1563e+01
7.4500e+02,8.2513e+01
7.4660e+02,8.4472e+01
7.4820e+02,8.6432e+01
7.4824e+02,8.6480e+01
7.4980e+02,8.8392e+01
7.5141e+02,9.0352e+01
7.5226e+02,9.1397e+01
7.5301e+02,9.2312e+01
7.5461e+02,9.4271e+01
7.5621e+02,9.6231e+01
7.5628e+02,9.6315e+01
7.5782e+02,9.8191e+01
7.5931e+02,1.0015e+02
7.5957e+02,1.0211e+02
7.5982e+02,1.0407e+02
7.6007e+02,1.0603e+02
7.6030e+02,1.0780e+02
7.6033e+02,1.0799e+02
7.6058e+02,1.0995e+02
7.6083e+02,1.1191e+02
7.6109e+02,1.1387e+02
7.6134e+02,1.1583e+02
7.6159e+02,1.1779e+02
7.6185e+02,1.1975e+02
7.6210e+02,1.2171e+02
7.6235e+02,1.2367e+02
7.6261e+02,1.2563e+02
7.6286e+02,1.2759e+02
7.6311e+02,1.2955e+02
7.6336e+02,1.3151e+02
7.6362e+02,1.3347e+02
7.6387e+02,1.3543e+02
7.6361e+02,1.3739e+02
7.6335e+02,1.3935e+02
7.6303e+02,1.4131e+02
7.6269e+02,1.4327e+02
7.6235e+02,1.4523e+02
7.6200e+02,1.4719e+02
7.6166e+02,1.4915e+02
7.6132e+02,1.5111e+02
7.6098e+02,1.5307e+02
7.6063e+02,1.5503e+02
7.6030e+02,1.5693e+02
7.6029e+02,1.5698e+02
7.5995e+02,1.5894e+02
7.5961e+02,1.6090e+02
7.5926e+02,1.6286e+02
7.5892e+02,1.6482e+02
7.5858e+02,1.6678e+02
7.5824e+02,1.6874e+02
7.5789e+02,1.7070e+02
