

# Contour value=10.00 
mST_GeV,deltaM_GeV
5.7983e+02,1.0000e+01
5.8132e+02,1.2714e+01
5.8281e+02,1.5427e+01
5.8429e+02,1.8141e+01
5.8492e+02,1.9295e+01
5.8578e+02,2.0854e+01
5.8710e+02,2.3568e+01
5.8811e+02,2.6281e+01
5.8898e+02,2.8995e+01
5.8930e+02,3.1709e+01
5.8961e+02,3.4422e+01
5.8993e+02,3.7136e+01
5.9024e+02,3.9849e+01
5.9056e+02,4.2563e+01
5.9087e+02,4.5276e+01
5.9119e+02,4.7990e+01
5.9182e+02,5.0704e+01
5.9333e+02,5.3417e+01
5.9485e+02,5.6131e+01
5.9637e+02,5.8844e+01
5.9789e+02,6.1558e+01
5.9849e+02,6.2632e+01
5.9923e+02,6.4271e+01
6.0046e+02,6.6985e+01
6.0168e+02,6.9698e+01
6.0288e+02,7.2412e+01
6.0387e+02,7.5126e+01
6.0446e+02,7.7839e+01
6.0498e+02,8.0553e+01
6.0549e+02,8.3266e+01
6.0599e+02,8.5980e+01
6.0650e+02,8.8693e+01
6.0701e+02,9.1407e+01
6.0752e+02,9.4121e+01
6.0803e+02,9.6834e+01
6.0853e+02,9.9548e+01
6.0922e+02,1.0226e+02
6.0996e+02,1.0497e+02
6.1065e+02,1.0769e+02
6.1133e+02,1.1040e+02
6.1200e+02,1.1312e+02
6.1206e+02,1.1335e+02
6.1266e+02,1.1583e+02
6.1332e+02,1.1854e+02
6.1398e+02,1.2126e+02
6.1463e+02,1.2397e+02
6.1529e+02,1.2668e+02
6.1595e+02,1.2940e+02
6.1661e+02,1.3211e+02
6.1726e+02,1.3482e+02
6.1792e+02,1.3754e+02
6.1858e+02,1.4025e+02
6.1924e+02,1.4296e+02
6.1990e+02,1.4568e+02
6.2055e+02,1.4839e+02
6.2121e+02,1.5111e+02
6.2187e+02,1.5382e+02
6.2253e+02,1.5653e+02
6.2319e+02,1.5925e+02
6.2386e+02,1.6196e+02
6.2452e+02,1.6467e+02
6.2518e+02,1.6739e+02
6.2563e+02,1.6924e+02
6.2584e+02,1.7010e+02
6.2650e+02,1.7281e+02
6.2716e+02,1.7553e+02
6.2782e+02,1.7824e+02
6.2848e+02,1.8095e+02
6.2913e+02,1.8367e+02
6.2977e+02,1.8638e+02
6.3040e+02,1.8910e+02
6.3101e+02,1.9181e+02
