

# Contour value=0.80 
mST_GeV,deltaM_GeV
2.5226e+02,1.5666e+02
2.5628e+02,1.5759e+02
2.5864e+02,1.5528e+02
2.5912e+02,1.5281e+02
2.5960e+02,1.5035e+02
2.6030e+02,1.4986e+02
2.6315e+02,1.4789e+02
2.6432e+02,1.4718e+02
2.6720e+02,1.4543e+02
2.6834e+02,1.4474e+02
2.7126e+02,1.4296e+02
2.7236e+02,1.4230e+02
2.7532e+02,1.4050e+02
2.7638e+02,1.3986e+02
2.7938e+02,1.3804e+02
2.8040e+02,1.3742e+02
2.8343e+02,1.3558e+02
2.8442e+02,1.3498e+02
2.8749e+02,1.3312e+02
2.8844e+02,1.3254e+02
2.9155e+02,1.3065e+02
2.9246e+02,1.3010e+02
2.9560e+02,1.2819e+02
2.9648e+02,1.2766e+02
2.9946e+02,1.2573e+02
3.0050e+02,1.2505e+02
3.0242e+02,1.2327e+02
3.0452e+02,1.2131e+02
3.0506e+02,1.2080e+02
3.0770e+02,1.1834e+02
3.0854e+02,1.1756e+02
3.1034e+02,1.1588e+02
3.1256e+02,1.1381e+02
3.1298e+02,1.1342e+02
3.1562e+02,1.1095e+02
3.1658e+02,1.1006e+02
3.1826e+02,1.0849e+02
3.2060e+02,1.0631e+02
3.2090e+02,1.0603e+02
3.2354e+02,1.0357e+02
3.2462e+02,1.0256e+02
3.2618e+02,1.0111e+02
3.2864e+02,9.8749e+01
3.2875e+02,9.8643e+01
3.3127e+02,9.6181e+01
3.3266e+02,9.4816e+01
3.3378e+02,9.3719e+01
3.3630e+02,9.1256e+01
3.3668e+02,9.0881e+01
3.3977e+02,8.8794e+01
3.4070e+02,8.8408e+01
3.4472e+02,8.7569e+01
3.4874e+02,8.6729e+01
3.4946e+02,8.6332e+01
3.5276e+02,8.4490e+01
3.5363e+02,8.3869e+01
3.5678e+02,8.1616e+01
3.5708e+02,8.1407e+01
3.6052e+02,7.8945e+01
3.6080e+02,7.8741e+01
3.6396e+02,7.6482e+01
3.6482e+02,7.5867e+01
3.6741e+02,7.4020e+01
3.6884e+02,7.2992e+01
3.7085e+02,7.1558e+01
3.7286e+02,7.0117e+01
3.7429e+02,6.9095e+01
3.7688e+02,6.7243e+01
3.7774e+02,6.6633e+01
3.8090e+02,6.4368e+01
3.8118e+02,6.4171e+01
3.8462e+02,6.1709e+01
3.8492e+02,6.1494e+01
3.8807e+02,5.9246e+01
3.8894e+02,5.8619e+01
3.9151e+02,5.6784e+01
3.9296e+02,5.5745e+01
3.9589e+02,5.4322e+01
3.9698e+02,5.3469e+01
4.0074e+02,5.1859e+01
4.0101e+02,5.1693e+01
4.0503e+02,4.9532e+01
4.0528e+02,4.9397e+01
4.0905e+02,4.8334e+01
4.1307e+02,4.7200e+01
4.1400e+02,4.6935e+01
4.1709e+02,4.6066e+01
4.2111e+02,4.4931e+01
4.2273e+02,4.4472e+01
4.2513e+02,4.3797e+01
4.2915e+02,4.2663e+01
4.3146e+02,4.2010e+01
4.3317e+02,4.0881e+01
4.3407e+02,3.9548e+01
4.3526e+02,3.7085e+01
4.3646e+02,3.4623e+01
4.3719e+02,3.3123e+01
4.3765e+02,3.2161e+01
4.3885e+02,2.9698e+01
4.4004e+02,2.7236e+01
4.4121e+02,2.5895e+01
4.4218e+02,2.4774e+01
4.4523e+02,2.4118e+01
4.4925e+02,2.3252e+01
4.5327e+02,2.2567e+01
4.5484e+02,2.2312e+01
4.5729e+02,2.1897e+01
4.6131e+02,2.1217e+01
4.6533e+02,2.0537e+01
4.6935e+02,1.9856e+01
4.6939e+02,1.9849e+01
4.7236e+02,1.7387e+01
4.7337e+02,1.7058e+01
4.7739e+02,1.6007e+01
4.8141e+02,1.4985e+01
4.8165e+02,1.4925e+01
4.8141e+02,1.4856e+01
4.7739e+02,1.3706e+01
4.7365e+02,1.2462e+01
4.7337e+02,1.1018e+01
4.7319e+02,1.0000e+01


# Contour value=1.00 
mST_GeV,deltaM_GeV
2.0000e+02,1.4451e+02
2.0402e+02,1.4456e+02
2.0804e+02,1.4461e+02
2.1206e+02,1.4465e+02
2.1608e+02,1.4470e+02
2.2010e+02,1.4474e+02
2.2412e+02,1.4479e+02
2.2814e+02,1.4483e+02
2.3216e+02,1.4488e+02
2.3618e+02,1.4492e+02
2.4020e+02,1.4497e+02
2.4422e+02,1.4508e+02
2.4577e+02,1.4543e+02
2.4824e+02,1.4591e+02
2.4957e+02,1.4543e+02
2.5226e+02,1.4444e+02
2.5396e+02,1.4296e+02
2.5628e+02,1.4095e+02
2.5690e+02,1.4050e+02
2.5964e+02,1.3804e+02
2.6030e+02,1.3747e+02
2.6248e+02,1.3558e+02
2.6432e+02,1.3399e+02
2.6571e+02,1.3312e+02
2.6817e+02,1.3065e+02
2.6834e+02,1.3050e+02
2.7132e+02,1.2819e+02
2.7236e+02,1.2724e+02
2.7484e+02,1.2573e+02
2.7638e+02,1.2388e+02
2.7739e+02,1.2327e+02
2.8040e+02,1.2093e+02
2.8060e+02,1.2080e+02
2.8442e+02,1.1849e+02
2.8466e+02,1.1834e+02
2.8844e+02,1.1605e+02
2.8872e+02,1.1588e+02
2.9246e+02,1.1361e+02
2.9278e+02,1.1342e+02
2.9648e+02,1.1117e+02
2.9681e+02,1.1095e+02
3.0050e+02,1.0856e+02
3.0058e+02,1.0849e+02
3.0322e+02,1.0603e+02
3.0452e+02,1.0481e+02
3.0586e+02,1.0357e+02
3.0850e+02,1.0111e+02
3.0854e+02,1.0106e+02
3.1107e+02,9.8643e+01
3.1256e+02,9.7183e+01
3.1359e+02,9.6181e+01
3.1610e+02,9.3719e+01
3.1658e+02,9.3248e+01
3.1862e+02,9.1256e+01
3.2060e+02,8.9313e+01
3.2113e+02,8.8794e+01
3.2365e+02,8.6332e+01
3.2462e+02,8.5378e+01
3.2616e+02,8.3869e+01
3.2864e+02,8.1443e+01
3.2869e+02,8.1407e+01
3.3266e+02,7.9514e+01
3.3539e+02,7.8945e+01
3.3668e+02,7.8675e+01
3.4070e+02,7.7835e+01
3.4472e+02,7.6995e+01
3.4718e+02,7.6482e+01
3.4874e+02,7.6156e+01
3.5258e+02,7.4020e+01
3.5276e+02,7.3917e+01
3.5606e+02,7.1558e+01
3.5678e+02,7.1042e+01
3.5951e+02,6.9095e+01
3.6080e+02,6.8168e+01
3.6295e+02,6.6633e+01
3.6482e+02,6.5293e+01
3.6639e+02,6.4171e+01
3.6884e+02,6.2419e+01
3.6984e+02,6.1709e+01
3.7286e+02,5.9544e+01
3.7328e+02,5.9246e+01
3.7672e+02,5.6784e+01
3.7688e+02,5.6670e+01
3.8017e+02,5.4322e+01
3.8090e+02,5.3795e+01
3.8361e+02,5.1859e+01
3.8492e+02,5.0982e+01
